Numbered Men,Mervyn LeRoy,NA,Prison drama,NA,1930,/wiki/Numbered_Men
The Office Wife,Lloyd Bacon,NA,Romance,NA,1930,/wiki/The_Office_Wife
Oklahoma Cyclone,John P. McCarthy,NA,Western,NA,1930,/wiki/Oklahoma_Cyclone
Old English,Alfred E. Green,NA,Drama,NA,1930,/wiki/Old_English_(film)
On Your Back,Guthrie McClintic,NA,Drama,NA,1930,/wiki/On_Your_Back
Only the Brave,Frank Tuttle,NA,"Drama, War",NA,1930,/wiki/Only_the_Brave_(1930_film)
The Other Tomorrow,Lloyd Bacon,NA,Drama,NA,1930,/wiki/The_Other_Tomorrow
Our Blushing Brides,NA,NA,Drama,NA,1930,/wiki/Our_Blushing_Brides
Outside the Law,Tod Browning,NA,Drama,NA,1930,/wiki/Outside_the_Law_(1930_film)
Outward Bound,Robert Milton,NA,Drama,NA,1930,/wiki/Outward_Bound_(film)
Paid,Sam Wood,NA,Drama,NA,1930,/wiki/Paid_(1930_film)
Paramount on Parade,NA,NA,Musical,NA,1930,/wiki/Paramount_on_Parade
Part Time Wife,Leo McCarey,NA,Comedy,NA,1930,/wiki/Part_Time_Wife
Party Girl,Victor Halperin,NA,Drama,NA,1930,/w/index.php?title=Party_Girl_(1930_film)&action=edit&redlink=1
The Pay-Off,Lowell Sherman,NA,Drama,NA,1930,/wiki/The_Pay-Off
Peacock Alley,Marcel de Sano,NA,NA,NA,1930,/wiki/Peacock_Alley_(1930_film)
Playing Around,Mervyn LeRoy,NA,Drama,NA,1930,/wiki/Playing_Around
Puttin' On The Ritz,Edward Sloman,NA,Musical,NA,1930,/wiki/Puttin%27_On_The_Ritz
Raffles,George Fitzmaurice,NA,NA,NA,1930,/wiki/Raffles_(1930_film)
Rain Or Shine,Frank Capra,NA,Comedy,NA,1930,/wiki/Rain_or_Shine_(film)
Reaching for the Moon,Edmund Goulding,NA,Musical,NA,1930,/wiki/Reaching_for_the_Moon_(1930_film)
Redemption,Fred Niblo,NA,Drama,NA,1930,/wiki/Redemption_(1930_film)
Renegades,Victor Fleming,NA,Western,NA,1930,/wiki/Renegades_(1930_film)
The Return of Dr. Fu Manchu,Rowland V. Lee,NA,Detective,NA,1930,/wiki/The_Return_of_Dr._Fu_Manchu
The Right to Love,Richard Wallace,NA,Drama,NA,1930,/wiki/The_Right_to_Love_(1930_US_Film)
River's End,Michael Curtiz,NA,Drama,NA,1930,/wiki/River%27s_End_(1930_film)
Road to Paradise,William Beaudine,NA,Drama,NA,1930,/wiki/Road_to_Paradise_(film)
The Rogue Song,Lionel Barrymore,NA,Operetta,NA,1930,/wiki/The_Rogue_Song
Romance,Clarence Brown,NA,Romance,NA,1930,/wiki/Romance_(1930_film)
The Royal Family of Broadway,George Cukor,NA,Comedy,NA,1930,/wiki/The_Royal_Family_of_Broadway
The Runaway Bride,Donald Crisp,NA,Drama,NA,1930,/wiki/The_Runaway_Bride_(film)
Safety in Numbers,Victor Schertzinger,NA,"Musical, Comedy",NA,1930,/wiki/Safety_in_Numbers_(1930_film)
The Sap from Syracuse,A. Edward Sutherland,NA,Comedy,NA,1930,/wiki/The_Sap_from_Syracuse
Scarlet Pages,Ray Enright,NA,Crime drama,NA,1930,/wiki/Scarlet_Pages
Second Choice,Howard Bretherton,NA,Romance,NA,1930,/wiki/Second_Choice
The Second Floor Mystery,Roy Del Ruth,NA,Mystery,NA,1930,/wiki/The_Second_Floor_Mystery
Second Honeymoon,Phil Rosen,NA,"Comedy, Drama",NA,1930,/w/index.php?title=Second_Honeymoon_(1930_film)&action=edit&redlink=1
She Couldn't Say No,Lloyd Bacon,NA,Drama,NA,1930,/wiki/She_Couldn%27t_Say_No_(1930_film)
Show Girl in Hollywood,Mervyn LeRoy,NA,Musical comedy,NA,1930,/wiki/Show_Girl_in_Hollywood
So This Is London,John G. Blystone,NA,Comedy,NA,1930,/wiki/So_This_Is_London_(1930_film)
The Social Lion,A. Edward Sutherland,NA,Comedy,NA,1930,/wiki/The_Social_Lion
A Soldier's Plaything,Michael Curtiz,NA,Comedy drama,NA,1930,/wiki/A_Soldier%27s_Plaything
Son of the Gods,Frank Lloyd,NA,Romance,NA,1930,/wiki/Son_of_the_Gods
Song o' My Heart,Frank Borzage,NA,Musical,NA,1930,/wiki/Song_o%27_My_Heart
Song of the Flame,Alan Crosland,NA,Operetta,NA,1930,/wiki/Song_of_the_Flame_(film)
Song of the West,Ray Enright,NA,Musical,NA,1930,/wiki/Song_of_the_West_(film)
Soup to Nuts,Benjamin Stoloff,NA,Comedy,NA,1930,/wiki/Soup_to_Nuts
The Storm,William Wyler,NA,Western,NA,1930,/wiki/The_Storm_(1930_film)
Street of Chance,John Cromwell,NA,Comedy,NA,1930,/wiki/Street_of_Chance_(1930_film)
Strictly Modern,William A. Seiter,NA,Romance,NA,1930,/wiki/Strictly_Modern
Such Men Are Dangerous,Kenneth Hawks,NA,Drama,NA,1930,/wiki/Such_Men_Are_Dangerous
Sunny,William A. Seiter,NA,Musical,NA,1930,/wiki/Sunny_(1930_film)
Sunny Skies,Norman Taurog,NA,Comedy. Musical,NA,1930,/wiki/Sunny_Skies_(film)
Sweet Kitty Bellairs,Alfred E. Green,NA,Musical comedy,NA,1930,/wiki/Sweet_Kitty_Bellairs
Sweet Mama,Edward F. Cline,NA,Drama,NA,1930,/wiki/Sweet_Mama_(film)
Sweethearts and Wives,Clarence G. Badger,NA,Mystery,NA,1930,/wiki/Sweethearts_and_Wives
The Texan,John Cromwell,NA,Western,NA,1930,/wiki/The_Texan_(film)
Those Who Dance,William Beaudine,NA,Crime,NA,1930,/wiki/Those_Who_Dance
Three Faces East,Roy Del Ruth,NA,Spy drama,NA,1930,/wiki/Three_Faces_East_(1930_film)
Thus is Life,George Crone,NA,Romantic comedy,Spanish language,1930,/wiki/Thus_is_Life
Tom Sawyer,John Cromwell,NA,Adventure,NA,1930,/wiki/Tom_Sawyer_(1930_film)
Top Speed,Mervyn LeRoy,NA,"Musical, Comedy",NA,1930,/wiki/Top_Speed_(film)
Troopers Three,NA,NA,Comedy,NA,1930,/wiki/Troopers_Three
True to the Navy,Frank Tuttle,NA,Comedy,NA,1930,/wiki/True_to_the_Navy
The Truth About Youth,William A. Seiter,NA,Drama,NA,1930,/wiki/The_Truth_About_Youth
Under a Texas Moon,Michael Curtiz,NA,"Western, Comedy",NA,1930,/wiki/Under_a_Texas_Moon_(film)
The Unholy Three,Jack Conway,NA,"Drama, Crime",NA,1930,/wiki/The_Unholy_Three_(1930_film)
Up the River,John Ford,NA,"Comedy, Drama",NA,1930,/wiki/Up_the_River
The Utah Kid,Richard Thorpe,NA,Western,NA,1930,/wiki/The_Utah_Kid_(1930_film)
The Vagabond King,Ludwig Berger,NA,Musical,NA,1930,/wiki/The_Vagabond_King_(1930_film)
The Virtuous Sin,George Cukor,NA,Comedy drama,NA,1930,/wiki/The_Virtuous_Sin
War Nurse,Edgar Selwyn,NA,"Drama, War",NA,1930,/wiki/War_Nurse
Way for a Sailor,Sam Wood,NA,NA,NA,1930,/wiki/Way_for_a_Sailor
Way Out West,Fred Niblo,NA,"Comedy, Western",NA,1930,/wiki/Way_Out_West_(1930_film)
What a Man!,George Crone,NA,Romantic comedy,NA,1930,/wiki/What_a_Man!_(1930_film)
What a Widow!,Allan Dwan,NA,Romantic comedy,NA,1930,/wiki/What_a_Widow!
Whoopee!,Thornton Freeland,NA,Musical,NA,1930,/wiki/Whoopee!_(film)
Wide Open,Archie Mayo,NA,Comedy,NA,1930,NA
The Widow From Chicago,Edward F. Cline,NA,"Drama, Crime",NA,1930,/wiki/The_Widow_From_Chicago
Wild Company,Leo McCarey,NA,Drama,NA,1930,/wiki/Wild_Company
The Woman Racket,Albert H. Kelley,NA,"Drama, Crime",NA,1930,/wiki/The_Woman_Racket
Worldly Goods,Phil Rosen,NA,NA,[1],1930,/w/index.php?title=Worldly_Goods_(1930_film)&action=edit&redlink=1
Young Eagles,William A. Wellman,NA,Drama,NA,1930,/wiki/Young_Eagles_(film)
Young Man of Manhattan,Monta Bell,NA,Comedy,NA,1930,/wiki/Young_Man_of_Manhattan
24 Hours,Marion Gering,NA,Drama,NA,1931,/wiki/24_Hours_(1931_film)
